player_name,normalized_player_name,club_name,decade,source_pass,confidence,input_position,reason,notes
Olexandr Kosyrin,olexandr kosyrin,Chornomorets Odesa,2000s,legends,High,FW,"Spelling, transliteration, identity, or club-name ambiguity",Could be transliterated Oleksandr Kosyrin; verify spelling.
Olexandr Kosyrin,olexandr kosyrin,Chornomorets Odesa,2010s,legends,High,FW,"Spelling, transliteration, identity, or club-name ambiguity",Could be transliterated Oleksandr Kosyrin; verify spelling.
Hennadiy Medvedyev,hennadiy medvedyev,Vorskla Poltava,1990s,legends,High,CB,"Spelling, transliteration, identity, or club-name ambiguity",Exact transliteration Medvedev/Medvedyev may vary.
Hennadiy Medvedyev,hennadiy medvedyev,Vorskla Poltava,2000s,legends,High,CB,"Spelling, transliteration, identity, or club-name ambiguity",Exact transliteration Medvedev/Medvedyev may vary.
Andriy Pylyavskyi,andriy pylyavskyi,Vorskla Poltava,2010s,legends,Medium,CB,"Spelling, transliteration, identity, or club-name ambiguity",Potential transliteration duplicate risk; verify.
Djordje Lazic,djordje lazic,Metalurg Donetsk (- 2015),2000s,legends,Medium,CM,"Spelling, transliteration, identity, or club-name ambiguity",Verify spelling Đorđe Lazić.
Djordje Lazic,djordje lazic,Metalurg Donetsk (- 2015),2010s,legends,Medium,CM,"Spelling, transliteration, identity, or club-name ambiguity",Verify spelling Đorđe Lazić.
Sergiy Tkachenko,sergiy tkachenko,Metalurg Donetsk (- 2015),2000s,legends,Medium,GK,"Spelling, transliteration, identity, or club-name ambiguity",May have multiple Serhiy Tkachenko profiles; verify player ID before import.
Serhiy Zakarlyuka,serhiy zakarlyuka,Arsenal Kyiv ( -2019),2000s,legends,High,AM/CM,"Spelling, transliteration, identity, or club-name ambiguity",Verify exact spelling Zakarlyuka/Zakarluka.
Serhiy Zakarlyuka,serhiy zakarlyuka,Arsenal Kyiv ( -2019),2010s,legends,High,AM/CM,"Spelling, transliteration, identity, or club-name ambiguity",Verify exact spelling Zakarlyuka/Zakarluka.
Eduard Tsykhmeystruk,eduard tsykhmeystruk,Arsenal Kyiv ( -2019),2000s,legends,Medium,CM,"Spelling, transliteration, identity, or club-name ambiguity",Verify transliteration.
Vasyl Hrytsuk,vasyl hrytsuk,PFC Oleksandriya,2010s,legends,High,AM/CM,"Spelling, transliteration, identity, or club-name ambiguity",Verify if club entity should be PFC Oleksandriya vs FC Oleksandriya.
Serhiy Loginov,serhiy loginov,SC Dnipro-1,2010s,legends,High,CB,"Spelling, transliteration, identity, or club-name ambiguity",Verify spelling Loginov/Lohinov.
Serhiy Loginov,serhiy loginov,SC Dnipro-1,2020s,legends,High,CB,"Spelling, transliteration, identity, or club-name ambiguity",Verify spelling Loginov/Lohinov.
Badr El Kaddouri,badr el kaddouri,Dynamo Kyiv,2000s,core_squad,High,Defender,"Spelling, transliteration, identity, or club-name ambiguity",Stats are aggregate at club level; spelling/transliteration may vary as El-Kaddouri / El Kaddouri.
Badr El Kaddouri,badr el kaddouri,Dynamo Kyiv,2010s,core_squad,High,Defender,"Spelling, transliteration, identity, or club-name ambiguity",Stats are aggregate at club level; spelling/transliteration may vary as El-Kaddouri / El Kaddouri.
Oleksandr Aliyev,oleksandr aliyev,Dynamo Kyiv,2000s,core_squad,Medium,Midfielder,"Spelling, transliteration, identity, or club-name ambiguity",Needs manual check for Aliyev/Aliyev/Aliev transliteration before database insert.
Oleksandr Aliyev,oleksandr aliyev,Dynamo Kyiv,2010s,core_squad,Medium,Midfielder,"Spelling, transliteration, identity, or club-name ambiguity",Needs manual check for Aliyev/Aliyev/Aliev transliteration before database insert.
Volodymyr Shepelev,volodymyr shepelev,Dynamo Kyiv,2010s,core_squad,Medium,Midfielder,"Spelling, transliteration, identity, or club-name ambiguity",Exact aggregate was not available in accessible snippet; verify exact apps before importing. Potential transliteration: Shepeliev.
Volodymyr Shepelev,volodymyr shepelev,Dynamo Kyiv,2020s,core_squad,Medium,Midfielder,"Spelling, transliteration, identity, or club-name ambiguity",Exact aggregate was not available in accessible snippet; verify exact apps before importing. Potential transliteration: Shepeliev.
Vitaliy Mandzyuk,vitaliy mandzyuk,Dnipro Dnipropetrovsk (- 2020),2000s,core_squad,Medium,Defender,"Spelling, transliteration, identity, or club-name ambiguity",Exact league total unavailable in accessible snippets; check Mandzyuk/Mandziuk spelling.
Vitaliy Mandzyuk,vitaliy mandzyuk,Dnipro Dnipropetrovsk (- 2020),2010s,core_squad,Medium,Defender,"Spelling, transliteration, identity, or club-name ambiguity",Exact league total unavailable in accessible snippets; check Mandzyuk/Mandziuk spelling.
Jan Lastuvka,jan lastuvka,Dnipro Dnipropetrovsk (- 2020),2000s,core_squad,Medium,Goalkeeper,"Spelling, transliteration, identity, or club-name ambiguity",Exact aggregate not visible in accessible snippet; spelling risk: Laštůvka / Lashtuvka.
Jan Lastuvka,jan lastuvka,Dnipro Dnipropetrovsk (- 2020),2010s,core_squad,Medium,Goalkeeper,"Spelling, transliteration, identity, or club-name ambiguity",Exact aggregate not visible in accessible snippet; spelling risk: Laštůvka / Lashtuvka.
Artem Fedetskyi,artem fedetskyi,Dnipro Dnipropetrovsk (- 2020),2010s,core_squad,Medium,Defender,"Spelling, transliteration, identity, or club-name ambiguity",Exact ALLPLAYERS total not visible in accessible snippet; verify Fedetskyi/Fedetskiy transliteration.
Samuel Inkoom,samuel inkoom,Dnipro Dnipropetrovsk (- 2020),2010s,core_squad,Low,Defender,Low-confidence candidate requires confirmation,Lower confidence because exact league total was not visible; verify before adding.
Matheus,matheus,Dnipro Dnipropetrovsk (- 2020),2010s,core_squad,High,Forward,"Spelling, transliteration, identity, or club-name ambiguity",Not the same as Mateus Amaral / Matheus Lopes in current list; verify normalized duplicate policy.
Leo Matos,leo matos,Dnipro Dnipropetrovsk (- 2020),2010s,core_squad,Medium,Defender,"Spelling, transliteration, identity, or club-name ambiguity",Exact total not visible; verify spelling Leo Matos / Leonardo de Matos Cruz.
Andriy Bordiyan,andriy bordiyan,Metalist Kharkiv,2000s,core_squad,Medium,Defender,"Spelling, transliteration, identity, or club-name ambiguity",Exact total unavailable in accessible snippet; Bordian/Bordiyan transliteration risk.
Andriy Bordiyan,andriy bordiyan,Metalist Kharkiv,2010s,core_squad,Medium,Defender,"Spelling, transliteration, identity, or club-name ambiguity",Exact total unavailable in accessible snippet; Bordian/Bordiyan transliteration risk.
Oleksandr Yaroshenko,oleksandr yaroshenko,Metalist Kharkiv,2000s,core_squad,Low,Midfielder,Low-confidence candidate requires confirmation,Needs manual validation of exact appearances and whether he is already present under alternate spelling.
Roman Shandruk,roman shandruk,Metalist Kharkiv,2000s,core_squad,Low,Defender,Low-confidence candidate requires confirmation,Exact total unavailable; validate before insertion.
Serhiy Symonenko,serhiy symonenko,Arsenal Kyiv ( -2019),2000s,core_squad,Medium,Defender,"Spelling, transliteration, identity, or club-name ambiguity",Exact total not visible; transliteration risk: Simonenko/Symonenko.
Andriy Khomin,andriy khomin,Arsenal Kyiv ( -2019),2000s,core_squad,Low,Defender,Low-confidence candidate requires confirmation,Needs manual verification of exact total and decade span.
Oleksandr Hrytsay,oleksandr hrytsay,Arsenal Kyiv ( -2019),2000s,core_squad,Medium,Midfielder,"Spelling, transliteration, identity, or club-name ambiguity",Exact aggregate not visible; likely duplicate risk if present under Hrytsai/Gritsay spelling.
Oleksandr Hrytsay,oleksandr hrytsay,Arsenal Kyiv ( -2019),2010s,core_squad,Medium,Midfielder,"Spelling, transliteration, identity, or club-name ambiguity",Exact aggregate not visible; likely duplicate risk if present under Hrytsai/Gritsay spelling.
Mykyta Kamenyuka,mykyta kamenyuka,Zorya Lugansk,2000s,core_squad,High,Defender,"Spelling, transliteration, identity, or club-name ambiguity",Exact aggregate not visible in accessible snippet; check Kamenyuka/Kamenuka transliteration.
Mykyta Kamenyuka,mykyta kamenyuka,Zorya Lugansk,2010s,core_squad,High,Defender,"Spelling, transliteration, identity, or club-name ambiguity",Exact aggregate not visible in accessible snippet; check Kamenyuka/Kamenuka transliteration.
Zeljko Ljubenovic,zeljko ljubenovic,Zorya Lugansk,2010s,core_squad,Medium,Midfielder,"Spelling, transliteration, identity, or club-name ambiguity",Exact total not visible; spelling risk: Željko Ljubenović / Zeljko Lyubenovic.
Oleksandr Karavayev,oleksandr karavayev,Zorya Lugansk,2010s,core_squad,Medium,Midfielder / Defender,Position cannot be mapped to one formation position safely,Exact total unavailable in snippet; verify before insert.
Dmytro Bilyi,dmytro bilyi,Zorya Lugansk,2000s,core_squad,Low,Defender,Low-confidence candidate requires confirmation,Exact total not visible; transliteration risk: Bilyi/Biliy/Beliy.
Dmytro Bilyi,dmytro bilyi,Zorya Lugansk,2010s,core_squad,Low,Defender,Low-confidence candidate requires confirmation,Exact total not visible; transliteration risk: Bilyi/Biliy/Beliy.
Ihor Kislov,ihor kislov,Vorskla Poltava,1990s,core_squad,Low,Midfielder,Low-confidence candidate requires confirmation,Needs exact verification; lower confidence due limited accessible snippets.
Ihor Kislov,ihor kislov,Vorskla Poltava,2000s,core_squad,Low,Midfielder,Low-confidence candidate requires confirmation,Needs exact verification; lower confidence due limited accessible snippets.
Oleksandr Omelchuk,oleksandr omelchuk,Vorskla Poltava,1990s,core_squad,Low,Defender,Low-confidence candidate requires confirmation,Exact total unavailable; verify before adding.
Oleksandr Omelchuk,oleksandr omelchuk,Vorskla Poltava,2000s,core_squad,Low,Defender,Low-confidence candidate requires confirmation,Exact total unavailable; verify before adding.
Serhiy Chuichenko,serhiy chuichenko,Vorskla Poltava,1990s,core_squad,Low,Forward,Low-confidence candidate requires confirmation,Exact total unavailable; verify before import.
Vladimir Dishlenkovic,vladimir dishlenkovic,Metalurg Donetsk (- 2015),2000s,core_squad,Medium,Goalkeeper,"Spelling, transliteration, identity, or club-name ambiguity",Exact total unavailable; spelling risk: Disljenkovic/Dishlenkovich/Dyshlenkovych.
Vladimir Dishlenkovic,vladimir dishlenkovic,Metalurg Donetsk (- 2015),2010s,core_squad,Medium,Goalkeeper,"Spelling, transliteration, identity, or club-name ambiguity",Exact total unavailable; spelling risk: Disljenkovic/Dishlenkovich/Dyshlenkovych.
Cyriac,cyriac,Metalurg Donetsk (- 2015),2010s,core_squad,Medium,Forward,"Spelling, transliteration, identity, or club-name ambiguity",Verify exact total and full name/normalization before importing.
Alexandru Suvorov,alexandru suvorov,Metalurg Donetsk (- 2015),2010s,core_squad,Low,Midfielder,Low-confidence candidate requires confirmation,Needs exact confirmation.
Oleksandr Nesterov,oleksandr nesterov,Metalurg Zaporizhya,2000s,core_squad,Low,Defender,Low-confidence candidate requires confirmation,Exact source snippet unavailable; manual validation required.
Oleksandr Nesterov,oleksandr nesterov,Metalurg Zaporizhya,2010s,core_squad,Low,Defender,Low-confidence candidate requires confirmation,Exact source snippet unavailable; manual validation required.
Hennadiy Prykhodko,hennadiy prykhodko,Kryvbas Kryvyi Rig,1990s,core_squad,High,Midfielder,"Spelling, transliteration, identity, or club-name ambiguity",Exact stats not visible; spelling risk: Prykhodko/Prikhodko.
Hennadiy Prykhodko,hennadiy prykhodko,Kryvbas Kryvyi Rig,2000s,core_squad,High,Midfielder,"Spelling, transliteration, identity, or club-name ambiguity",Exact stats not visible; spelling risk: Prykhodko/Prikhodko.
Sambou Yatabare,sambou yatabare,Karpaty Lviv,2010s,core_squad,Low,Midfielder,Low-confidence candidate requires confirmation,Lower confidence; exact number needs verification.
Maicon,maicon,Volyn Lutsk,2010s,core_squad,Medium,Forward,"Spelling, transliteration, identity, or club-name ambiguity",Exact appearance total not visible; verify whether he is already represented under full name.
Oleksandr Karabuta,oleksandr karabuta,Metalist Kharkiv,1990s,first_pass,High,FW/MF,Position cannot be mapped to one formation position safely,"ALLPLAYERS gives 239/46 league total; Wikipedia cites 264 official matches and 51 goals, so league-only figure is used conservatively."
Yuriy Gudymenko,yuriy gudymenko,Tavriya Simferopol,1990s,first_pass,High,FW,"Spelling, transliteration, identity, or club-name ambiguity",Name transliteration may appear as Gudimenko/Gudymenko.
Serhiy Shevchenko,serhiy shevchenko,Tavriya Simferopol,1990s,first_pass,Medium,FW,"Spelling, transliteration, identity, or club-name ambiguity",Possible spelling variants Sergey/Serhiy Shevchenko; not the famous Andriy Shevchenko.
Tolyat Sheykhametov,tolyat sheykhametov,Tavriya Simferopol,1990s,first_pass,Medium,FW,"Spelling, transliteration, identity, or club-name ambiguity",Appearances incomplete; transliteration may vary Talyat/Tolyat Sheikhametov/Sheykhametov.
Sergey Polstyanov,sergey polstyanov,Tavriya Simferopol,1990s,first_pass,Medium,FW,"Spelling, transliteration, identity, or club-name ambiguity",Appearances incomplete; name transliteration may vary Polstyanov/Polstianov.
Valentyn Platonov,valentyn platonov,Kryvbas Kryvyi Rig,1990s,first_pass,High,MF/DF,Position cannot be mapped to one formation position safely,"Stats are aggregate at club level, not decade-split."
Valentyn Platonov,valentyn platonov,Kryvbas Kryvyi Rig,2000s,first_pass,High,MF/DF,Position cannot be mapped to one formation position safely,"Stats are aggregate at club level, not decade-split."
Oleksandr Pyschur,oleksandr pyschur,Volyn Lutsk,2000s,first_pass,High,FW,"Spelling, transliteration, identity, or club-name ambiguity",Name may be transliterated Pyshchur/Pishchur/Pyschur.
Serhiy Kliuchyk,serhiy kliuchyk,Metalurg Zaporizhya,1990s,first_pass,Medium,MF,"Spelling, transliteration, identity, or club-name ambiguity",Transliteration may vary Klyuchyk/Kliuchyk; decade split not verified.
